ang(deg),IA (A),IB (A),Axial torque (N*m)
51,2,-6,-2.1225859251466046
51,2,-5,-1.891292847122138
51,2,-4,-1.6653571821352737
51,2,-3,-1.4454716793653635
51,2,-2,-1.2264496556324007
51,2,-1,-1.011358182018912
51,2,0,-0.7989577134743261
51,2,1,-0.5872866727033379
51,2,2,-0.37711832694656056
51,2,3,-0.16791546242241281
51,2,4,0.040943144618495075
51,2,5,0.24409982634702615
51,2,6,0.44138721713400075
51,2,7,0.6379992475716889
51,2,8,0.8345328284762975
51,2,9,1.0287692450485753
51,2,10,1.2222865134185283
51,3,-10,-3.2755525658268025
51,3,-9,-3.038017589806703
51,3,-8,-2.801287140032733
51,3,-7,-2.5671743143903036
51,3,-6,-2.3347064784897813
51,3,-5,-2.103398998335879
51,3,-4,-1.877709835924101
51,3,-3,-1.6580412188085663
51,3,-2,-1.4392291340885297
51,3,-1,-1.2241281803097457
51,3,0,-1.0120308225321002
51,3,1,-0.8003374387422886
51,3,2,-0.5901044893739361
51,3,3,-0.38087210010179096
51,3,4,-0.1720327452036141
51,3,5,0.03159915432311647
51,3,6,0.229639329445065
51,3,7,0.42592369749919834
51,3,8,0.6220364720990117
51,3,9,0.8168450765585384
51,3,10,1.0105711015670216
51,4,-10,-3.4843850542380412
51,4,-9,-3.2471618516326184
51,4,-8,-3.0118558280102885
51,4,-7,-2.778469499238411
51,4,-6,-2.5462920809530765
51,4,-5,-2.315559435023122
51,4,-4,-2.090099378592268
51,4,-3,-1.8706508161494517
51,4,-2,-1.6518128431096586
51,4,-1,-1.4370179085279284
51,4,0,-1.2249703094485014
51,4,1,-1.0132239273453831
51,4,2,-0.8026829633535391
51,4,3,-0.5929675260404158
51,4,4,-0.38399832807857404
51,4,5,-0.18020655666369065
51,4,6,0.017427015314267075
51,4,7,0.2145967072247504
51,4,8,0.4106314851481765
51,4,9,0.6055474750744396
51,4,10,0.7992647233683374
51,5,-10,-3.687219604413022
51,5,-9,-3.4514723722767173
51,5,-8,-3.217334442212384
51,5,-7,-2.9847238010719086
51,5,-6,-2.753425440819747
51,5,-5,-2.5231728985060125
51,5,-4,-2.2983311891074107
51,5,-3,-2.079061072115155
51,5,-2,-1.860487435126508
51,5,-1,-1.6459048179495541
51,5,0,-1.4336892678344255
51,5,1,-1.2214822793139
51,5,2,-1.0102055580042753
51,5,3,-0.800542027954217
51,5,4,-0.5918508297825531
51,5,5,-0.38811548465211465
51,5,6,-0.1900270986586634
51,5,7,0.00696585483344489
51,5,8,0.2036017037605173
51,5,9,0.3986915691802222
51,5,10,0.5923814032797632
51,6,-10,-3.8859326193481163
51,6,-9,-3.6510303691519383
51,6,-8,-3.41739239091733
51,6,-7,-3.185568415702806
51,6,-6,-2.9548351730798874
51,6,-5,-2.724844468066298
51,6,-4,-2.500505807979026
51,6,-3,-2.2812268834602163
51,6,-2,-2.062419790055196
51,6,-1,-1.84784818737266
51,6,0,-1.635194768867401
51,6,1,-1.4221593187270563
51,6,2,-1.211109021834268
51,6,3,-1.0023815906158329
51,6,4,-0.7932533871559165
51,6,5,-0.58954822065816
51,6,6,-0.39146905909835705
51,6,7,-0.19437590869291413
51,6,8,0.002331911300885864
51,6,9,0.19728500269452595
51,6,10,0.391433122196919
51,7,-10,-4.084277396761238
51,7,-9,-3.850352727538797
51,7,-8,-3.6172110921518303
51,7,-7,-3.385909582969113
51,7,-6,-3.155342794139332
51,7,-5,-2.9255328451134996
51,7,-4,-2.7010443430961506
51,7,-3,-2.481418345527987
51,7,-2,-2.2626926838012777
51,7,-1,-2.047393546204714
51,7,0,-1.8343024297633386
51,7,1,-1.62144875798335
51,7,2,-1.4108841421688425
51,7,3,-1.201423052030839
51,7,4,-0.9932746332406812
51,7,5,-0.7899411102361291
51,7,6,-0.5924210539901001
51,7,7,-0.39493211746092693
51,7,8,-0.19782798951160982
51,7,9,-0.0033431547092846736
51,7,10,0.19062732173835892
51,8,-10,-4.282948671041767
51,8,-9,-4.0494117968246
51,8,-8,-3.817158811163317
51,8,-7,-3.5858419227729166
51,8,-6,-3.3550935570616227
51,8,-5,-3.125225516567178
51,8,-4,-2.9009916650766847
51,8,-3,-2.6809719035605526
51,8,-2,-2.4621583159034204
51,8,-1,-2.246299654653873
51,8,0,-2.0330724264378923
51,8,1,-1.820562797737763
51,8,2,-1.6103717432071716
51,8,3,-1.401501891991478
51,8,4,-1.1932760039920995
51,8,5,-0.9903270176918662
51,8,6,-0.7921220670765011
51,8,7,-0.5953411093600431
51,8,8,-0.3984484825476643
51,8,9,-0.2036061387847194
51,8,10,-0.00962347979987152
51,9,-10,-4.480243511693181
51,9,-9,-4.247096994954846
51,9,-8,-4.014784777191688
51,9,-7,-3.7835541860330992
51,9,-6,-3.553157803444325
51,9,-5,-3.322988656090514
51,9,-4,-3.098509634628668
51,9,-3,-2.8783381755777318
51,9,-2,-2.6589233489581927
51,9,-1,-2.4436438141297048
51,9,0,-2.2305948745427493
51,9,1,-2.018483900196558
51,9,2,-1.8086207233190408
51,9,3,-1.6000994561649833
51,9,4,-1.391990709122197
51,9,5,-1.1892932505214953
51,9,6,-0.9909928356830101
51,9,7,-0.7939275021408954
51,9,8,-0.5973569501153362
51,9,9,-0.40254201306091153
51,9,10,-0.2086262914943738
51,10,-10,-4.676178226535783
51,10,-9,-4.4433603486705096
51,10,-8,-4.211293864159327
51,10,-7,-3.9798623649141063
51,10,-6,-3.74902362855463
51,10,-5,-3.5186001531893396
51,10,-4,-3.2943003918713503
51,10,-3,-3.0741933171312623
51,10,-2,-2.854734277487449
51,10,-1,-2.639714720892212
51,10,0,-2.426892659703309
51,10,1,-2.215176060644294
51,10,2,-2.005709553155233
51,10,3,-1.7973787153231207
51,10,4,-1.5888634200096132
51,10,5,-1.3862642472565017
51,10,6,-1.1889742458010595
51,10,7,-0.9921937704747757
51,10,8,-0.79515380645417
51,10,9,-0.6002044271815531
51,10,10,-0.4063284754451755
52,-10,-10,0.3055530334537816
52,-10,-9,0.4984856972464906
52,-10,-8,0.6908708875663606
52,-10,-7,0.8809039519803141
52,-10,-6,1.0674072121931868
52,-10,-5,1.253302363702797
52,-10,-4,1.4376196552442833
52,-10,-3,1.6203276872768588
52,-10,-2,1.801463474828864
52,-10,-1,1.9789062560848143
52,-10,0,2.150529041387684
52,-10,1,2.3226326518741174
52,-10,2,2.4934623529366657
52,-10,3,2.6639710425931655
52,-10,4,2.832774480312914
52,-10,5,3.0023292275353306
52,-10,6,3.1712965866784866
52,-10,7,3.3350336386306534
52,-10,8,3.4946509054015027
52,-10,9,3.652036155256811
52,-10,10,3.808286294598797
52,-9,-10,0.03600914065200639
52,-9,-9,0.22968168801581845
52,-9,-8,0.42240312099523497
52,-9,-7,0.6126640356629742
52,-9,-6,0.7993800499367647
52,-9,-5,0.9853492732452876
52,-9,-4,1.1700884732455843
52,-9,-3,1.3524385263546956
52,-9,-2,1.5342733595940565
52,-9,-1,1.7133441314386058
52,-9,0,1.8866604136389695
52,-9,1,2.0590344537390455
52,-9,2,2.2307149139110742
52,-9,3,2.4014049432702222
52,-9,4,2.5712629110421537
52,-9,5,2.7413086373501883
52,-9,6,2.9103096899971983
52,-9,7,3.0741359985677588
52,-9,8,3.2335496196046543
52,-9,9,3.3904845283593983
52,-9,10,3.54671126667788
52,-8,-10,-0.2327231993006275
52,-8,-9,-0.038722622588929806
52,-8,-8,0.15416892785085082
52,-8,-7,0.3446421750959381
52,-8,-6,0.5317121534997236
52,-8,-5,0.7181362874944309
52,-8,-4,0.9034445210606509
52,-8,-3,1.085779843360995
52,-8,-2,1.2695170419297526
52,-8,-1,1.450046395953274
52,-8,0,1.6237855072102436
52,-8,1,1.796340766072746
52,-8,2,1.9686546282231698
52,-8,3,2.1400866845268154
52,-8,4,2.3102872228498725
52,-8,5,2.4803225334999115
52,-8,6,2.649292142613607
52,-8,7,2.81316541861202
52,-8,8,2.9721455109245225
52,-8,9,3.1287477873968164
52,-8,10,3.285863915417917
52,-7,-10,-0.5009581994737462
52,-7,-9,-0.3066862663250919
52,-7,-8,-0.11384477877176741
52,-7,-7,0.07740962411168786
52,-7,-6,0.2653147414045277
52,-7,-5,0.45240978400672627
52,-7,-4,0.6377894361449801
52,-7,-3,0.8224478884152624
52,-7,-2,1.0064660535618513
52,-7,-1,1.187629610990198
52,-7,0,1.3616910913273008
52,-7,1,1.5344612132112991
52,-7,2,1.7073799417510882
52,-7,3,1.8790421193222526
52,-7,4,2.049490353769569
52,-7,5,2.219351941638764
52,-7,6,2.3881506159431014
52,-7,7,2.5519784596623496
52,-7,8,2.710970941838894
52,-7,9,2.8694993181361066
52,-7,10,3.028046023216967
52,-6,-10,-0.7695503411664443
52,-6,-9,-0.5746515594445937
52,-6,-8,-0.3806684977544756
52,-6,-7,-0.1884651875061294
52,-6,-6,-2.281227052075563E-5
52,-6,-5,0.1881898766006109
52,-6,-4,0.3747502758588932
52,-6,-3,0.5597689444095161
52,-6,-2,0.744039662462024
52,-6,-1,0.9252991519671477
52,-6,0,1.099939948289344
52,-6,1,1.2732963143127096
52,-6,2,1.4463981292680756
52,-6,3,1.6182880788898701
52,-6,4,1.7885833759415983
52,-6,5,1.9582871156481472
52,-6,6,2.1269572543528565
52,-6,7,2.292178572277707
52,-6,8,2.453214609378137
52,-6,9,2.6123248026614374
52,-6,10,2.7711314405198615
52,-5,-10,-1.036593639949102
52,-5,-9,-0.8409775876262848
52,-5,-8,-0.6459340310550925
52,-5,-7,-0.45256270824294886
52,-5,-6,-0.2627631041859075
52,-5,-5,-0.0745483721366291
52,-5,-4,0.11255576007791779
52,-5,-3,0.2972716287830144
52,-5,-2,0.48151378536284206
52,-5,-1,0.6633692416982988
52,-5,0,0.8384063421525554
52,-5,1,1.012667769139316
52,-5,2,1.1853934174254226
