ang (deg),IA (A),IB (A),Coil A flux (Wb),Coil B flux (Wb),Coil C flux (Wb)
0,-7,-9,-0.04664728651270406,0.03001541508540937,0.021953506877094756
0,-7,-8,-0.04664395782010456,0.030498712267292033,0.02143179653980466
0,-7,-7,-0.04663955583038413,0.030978275942707415,0.020897313697391586
0,-7,-6,-0.0466344707818097,0.031451066877278125,0.020359588277663886
0,-7,-5,-0.04662803360385842,0.03192091036123147,0.01981376730506027
0,-7,-4,-0.04662290404525807,0.03238773660876146,0.01924507003223254
0,-7,-3,-0.04661761462939737,0.03283982482631021,0.01866993596302944
0,-7,-2,-0.04661155957013878,0.033275338514030986,0.018091619920299014
0,-7,-1,-0.046604500367515955,0.03370593452145921,0.01751050908365883
0,-7,0,-0.04659607874479207,0.03413343984521811,0.0169280426451717
0,-7,1,-0.046588374796196486,0.03455591205730178,0.016344558117204495
0,-7,2,-0.04658150048890606,0.034959355177187505,0.015760337682771873
0,-7,3,-0.046573317492892306,0.03535300406768293,0.015175101635676763
0,-7,4,-0.04656673812627883,0.0357423753387968,0.014589246507338066
0,-7,5,-0.046558449687352434,0.03612965680170008,0.014003453224032531
0,-7,6,-0.04655066990931751,0.036516424259896776,0.01341844184699601
0,-7,7,-0.04654348832969375,0.03689794328952485,0.01283155213912942
0,-7,8,-0.0465358763265374,0.03726374994328054,0.012244581048119952
0,-7,9,-0.046527403169558786,0.03761801980943318,0.011656799738916578
0,-7,10,-0.04651757755268906,0.037966785988313,0.011069219869226436
0,-6,-10,-0.04641426528359218,0.029562896205639042,0.021980572396274815
0,-6,-9,-0.04640850834615985,0.030046878034552506,0.021458543242852582
0,-6,-8,-0.04640246125147531,0.030529740139766542,0.020922741571350538
0,-6,-7,-0.04639642892191214,0.031009656281116665,0.02038477737242778
0,-6,-6,-0.04639048454774849,0.031481977508492985,0.01983834488727146
0,-6,-5,-0.04638542807443776,0.031950787723405046,0.019269211725376937
0,-6,-4,-0.04638007427538369,0.032417821769064145,0.018693142654706972
0,-6,-3,-0.0463717645676807,0.03286910037256882,0.018114279325369957
0,-6,-2,-0.046364215093238875,0.03330497143985736,0.017532710442388324
0,-6,-1,-0.046356676291449725,0.0337352221478979,0.016949958473412668
0,-6,0,-0.0463488709218914,0.03416307983940597,0.016366371496453633
0,-6,1,-0.0463411466883763,0.03458538229164121,0.015781758915000936
0,-6,2,-0.046333596078443555,0.03498834782332509,0.015196861212162708
0,-6,3,-0.04632623336595632,0.035382163200069684,0.014610942639650019
0,-6,4,-0.0463187813739667,0.035771407798790275,0.014025067285978556
0,-6,5,-0.04631115796496547,0.036158740171596225,0.013439582967692125
0,-6,6,-0.0463029197184285,0.036545370328478606,0.012852015361796774
0,-6,7,-0.04629433795394871,0.03692554409893616,0.012264308077763974
0,-6,8,-0.04628604174190689,0.0372910154888119,0.011676366126188652
0,-6,9,-0.04627683168222861,0.037645663320455644,0.011087723658873278
0,-6,10,-0.0462667679191016,0.03799556873813389,0.010500641536693268
0,-5,-10,-0.046168849905442795,0.029593795737042756,0.021483882317853854
0,-5,-9,-0.04616339536247185,0.030079957147366818,0.02094780472115431
0,-5,-8,-0.04615723754761892,0.030561161916465494,0.020409796453204673
0,-5,-7,-0.046150985489931025,0.031040214534189717,0.019862549804391446
0,-5,-6,-0.046145016301003206,0.03151146412714342,0.019292192205057065
0,-5,-5,-0.04613809438953906,0.0319798924270476,0.018715122129016038
0,-5,-4,-0.046130685653780326,0.032446906315010494,0.01813629102399506
0,-5,-3,-0.0461235220828144,0.032898371368422885,0.017555076061382346
0,-5,-2,-0.046116416324584,0.033334439921925196,0.016971720760552644
0,-5,-1,-0.0461091653305403,0.033764557570346306,0.016388189217930466
0,-5,0,-0.04610142966930186,0.034193149477439996,0.01580334666116199
