 ang (deg),IA (A),IB (A),Coil A flux (Wb),Coil B flux (Wb),Coil C flux (Wb),Axial torque (N*m)
36,70,-30,0.056423543923227154,-0.04164807257536578,-0.029534903875549284,6.372192117264459
36,70,-20,0.05644890476157047,-0.0383416851731556,-0.03301729591080435,9.39347546240411
36,70,-10,0.056461249624542464,-0.03488093186839393,-0.036275412208156964,12.376679364381685
36,70,0,0.0564631074025336,-0.031185190356988347,-0.039284555551491705,15.331492352449784
36,70,10,0.05646476426045336,-0.02699689252808577,-0.04202396082428551,18.31767503877011
36,70,20,0.05646795243260707,-0.022281191126502623,-0.044502807648958316,21.33365853431124
36,70,30,0.05647298744329497,-0.017033997073087222,-0.046629815808708855,24.33849704333555
36,70,40,0.05647199120479225,-0.011496408842811499,-0.04846770296562042,27.275161995609675
36,70,50,0.056460398613913415,-0.006042322501244063,-0.050084978368403955,30.04954495925616
36,70,60,0.05644347060105474,-7.739995966498412E-4,-0.05153332682109432,32.64399028303342
36,70,70,0.056413744752750884,0.004328890671831282,-0.05284673671793889,35.081198677039595
36,70,80,0.05637011634975747,0.009196520316407898,-0.05407474854051641,37.386631162448715
36,70,90,0.05630139146694502,0.013301431496182927,-0.0552457484007649,39.42602513360552
36,70,100,0.05619350049410946,0.01663925892456612,-0.05633061177532702,41.199718097928056
36,80,-100,0.05749773895075082,-0.05547468691689675,-0.0012385656938571918,-12.377492181368074
36,80,-90,0.05751879418104946,-0.05416938471575165,-0.0064114795077296225,-9.463842805883381
36,80,-80,0.057534365984241026,-0.05274223206327899,-0.011691186801568604,-6.470780419691235
36,80,-70,0.057541909408577896,-0.05112868910482537,-0.016744173002810496,-3.4717711680486785
36,80,-60,0.05755308715496269,-0.049175834039610705,-0.02120055305959272,-0.5369484666134504
36,80,-50,0.05757065218301385,-0.0468176108042563,-0.0251929129581084,2.3832797369309406
36,80,-40,0.05759161654090521,-0.04399185215582749,-0.02885584404249626,5.333849429756694
36,80,-30,0.057607302382328744,-0.04093442198853952,-0.03233992898090052,8.284929370442033
36,80,-20,0.05761464841250868,-0.037664249972801184,-0.035622448631956426,11.221056407191888
36,80,-10,0.05761568139704479,-0.03422879758311261,-0.03864438566963992,14.106270862398192
36,80,0,0.05761490461114624,-0.030609036305063394,-0.041497969592497526,16.974390914874615
36,80,10,0.05761368281586392,-0.026546506243730394,-0.04414429872744589,19.877439505789887
36,80,20,0.05761833775920994,-0.022000354408416224,-0.046428986915376,22.752408251571833
36,80,30,0.0576292854017207,-0.016889236272268494,-0.04835617430777306,25.618887751815773
36,80,40,0.05763589590374242,-0.011412944701004122,-0.05002819536018749,28.455083388476513
36,80,50,0.05763039711687226,-0.006013726579704781,-0.05150748620444416,31.144385898204977
36,80,60,0.05761349159671966,-7.815588813635867E-4,-0.05284161008664986,33.66997526870574
36,80,70,0.05759205367219047,0.00430175331857033,-0.05407718962582828,36.06368174011846
36,80,80,0.05756251454426101,0.009148928038103132,-0.05523584847293033,38.325573315023824
36,80,90,0.05749311777903745,0.013234241428992622,-0.05630908794894002,40.30570580253575
36,80,100,0.05739491699816006,0.016547430077439126,-0.05733831887030084,42.03961407487355
36,90,-100,0.05858232221999585,-0.05544423198916723,-0.006391295003592281,-9.906007097255246
36,90,-90,0.05859195777619185,-0.05411669766883503,-0.011627668361635883,-6.967493957022443
36,90,-80,0.058593696865178097,-0.05264110059550372,-0.016593457032997534,-4.056402547082418
36,90,-70,0.0586065075326974,-0.05089857344072788,-0.02091248966037995,-1.2465647526023134
36,90,-60,0.05862533052690883,-0.04877930060603467,-0.02472201206218719,1.5222041810838176
36,90,-50,0.0586562519093861,-0.0462114757230668,-0.028192914499297797,4.322486713431914
36,90,-40,0.058681964721763166,-0.04327226140848295,-0.03161545892788727,7.216886485581798
36,90,-30,0.05870158572163952,-0.040202230584433125,-0.03491225838319301,10.103125178068039
36,90,-20,0.05871795849788426,-0.036960244061163876,-0.03795463578427855,12.942866271353923
36,90,-10,0.05872037236530169,-0.03356114629277888,-0.040862996472924615,15.772537951204532
36,90,0,0.05871806393288937,-0.030028848930311203,-0.0436354457623168,18.57772269865422
36,90,10,0.058720599199018474,-0.0261273687528014,-0.04610689822924783,21.351203493893994
36,90,20,0.058722540220972744,-0.021758785437044383,-0.04818077897414408,24.069118017725238
36,90,30,0.05873285322157025,-0.016767301113464278,-0.04995102341247141,26.821087808942806
36,90,40,0.05873565810384956,-0.011362340120193633,-0.0514691144395211,29.559302808062053
36,90,50,0.05872736892072547,-0.0060018063007510935,-0.05282706420590272,32.17542165460274
36,90,60,0.0587106862753911,-7.921589800329462E-4,-0.05407626490575346,34.65074675876712
36,90,70,0.05868806602863644,0.00427297925536208,-0.055239045070208825,36.99750703881152
36,90,80,0.05865242290644175,0.009105731153599203,-0.05629884487663546,39.19953910839728
36,90,90,0.058592915498828654,0.01316823442354945,-0.057313808951446256,41.13741521479219
36,90,100,0.058496808818783025,0.01646956152054082,-0.05830994511721888,42.84505471403964
36,100,-100,0.05957804305627727,-0.05540230455516246,-0.011573375762751142,-7.437564452372581
36,100,-90,0.059579710357225965,-0.054031065753119056,-0.01647695906047957,-4.588512650785938
36,100,-80,0.059591925769526044,-0.05246263922606038,-0.02067750429420016,-1.8938117875457043
36,100,-70,0.05961632881190609,-0.05055443540132383,-0.024308755172094264,0.7338995321057796
36,100,-60,0.05964856488115474,-0.04825096257646476,-0.027585687243636695,3.3761658656717546
36,100,-50,0.05968014287066139,-0.04549948937016366,-0.03089659612805782,6.1767991867469165
