IB (A),IA (A),ang (deg),Coil A flux (Wb),Coil B flux (Wb),Coil C flux (Wb)
-9,-8,0,-0.04687263058992105,0.029984415803550067,0.022439304055378518
-8,-8,0,-0.04686955840726128,0.03046767293883445,0.021925256892519306
-7,-8,0,-0.046866124649687244,0.030947322808096207,0.02140490926193245
-6,-8,0,-0.046863242870354815,0.03141956634030684,0.02086983417792173
-5,-8,0,-0.046859993563707784,0.03188943874719051,0.02033325600124558
-4,-8,0,-0.04685537684594265,0.03235769420124232,0.019788577734802658
-3,-8,0,-0.04685052716824107,0.03281013568166342,0.019220393389636128
-2,-8,0,-0.04684545295096464,0.033245728778146556,0.01864574537603208
-1,-8,0,-0.04684016626442083,0.03367518557917303,0.01806822499434967
0,-8,0,-0.046833527649295326,0.03410351031829609,0.017488137507520044
1,-8,0,-0.046826186661721975,0.03452615608874291,0.016905726796049812
2,-8,0,-0.04681907874924593,0.03493018435028017,0.01632241103634734
3,-8,0,-0.04681215101209657,0.03532366925732265,0.01573837510859442
4,-8,0,-0.04680469830549384,0.035713012050710154,0.01515298922525446
5,-8,0,-0.046797653983399155,0.03610047455220757,0.014567208286784317
6,-8,0,-0.0467912528339012,0.03648741162577654,0.013981661713689374
7,-8,0,-0.046785297072519355,0.03687002446200513,0.01339702603027526
8,-8,0,-0.04677766490476964,0.0372360513216118,0.012811006209442784
9,-8,0,-0.04676917551339169,0.03758898225570772,0.012224412232993916
10,-8,0,-0.04676081515064906,0.037937946853051775,0.011637735073520346
-10,-7,0,-0.04665081126722899,0.029532580222041124,0.022466617620062045
-9,-7,0,-0.04664728651270406,0.03001541508540937,0.021953506877094756
-8,-7,0,-0.04664395782010456,0.03049871226729203,0.02143179653980466
-7,-7,0,-0.04663955583038413,0.0309782759427074,0.020897313697391586
-6,-7,0,-0.046634470781809684,0.031451066877278125,0.02035958827766389
-5,-7,0,-0.04662803360385842,0.03192091036123147,0.01981376730506027
-4,-7,0,-0.04662290404525807,0.03238773660876145,0.019245070032232546
-3,-7,0,-0.04661761462939737,0.03283982482631021,0.018669935963029436
-2,-7,0,-0.04661155957013877,0.033275338514031,0.018091619920299024
-1,-7,0,-0.046604500367515955,0.03370593452145921,0.017510509083658823
0,-7,0,-0.04659607874479207,0.0341334398452181,0.016928042645171698
1,-7,0,-0.046588374796196486,0.034555912057301776,0.016344558117204488
2,-7,0,-0.04658150048890606,0.034959355177187505,0.01576033768277187
3,-7,0,-0.04657331749289231,0.03535300406768292,0.015175101635676758
4,-7,0,-0.04656673812627883,0.03574237533879679,0.014589246507338066
5,-7,0,-0.046558449687352434,0.03612965680170008,0.014003453224032531
6,-7,0,-0.04655066990931751,0.036516424259896776,0.013418441846996008
7,-7,0,-0.04654348832969376,0.03689794328952485,0.012831552139129412
8,-7,0,-0.046535876326537405,0.03726374994328053,0.012244581048119955
9,-7,0,-0.046527403169558765,0.03761801980943319,0.011656799738916581
10,-7,0,-0.04651757755268906,0.037966785988313004,0.011069219869226439
-10,-6,0,-0.04641426528359218,0.029562896205639032,0.021980572396274805
-9,-6,0,-0.04640850834615986,0.030046878034552506,0.021458543242852582
-8,-6,0,-0.046402461251475305,0.030529740139766542,0.020922741571350528
-7,-6,0,-0.04639642892191214,0.031009656281116675,0.02038477737242778
-6,-6,0,-0.04639048454774849,0.031481977508492985,0.01983834488727146
-5,-6,0,-0.04638542807443776,0.031950787723405046,0.019269211725376937
-4,-6,0,-0.04638007427538369,0.032417821769064145,0.01869314265470697
-3,-6,0,-0.0463717645676807,0.03286910037256882,0.018114279325369964
-2,-6,0,-0.046364215093238875,0.033304971439857355,0.017532710442388324
-1,-6,0,-0.046356676291449725,0.0337352221478979,0.01694995847341267
0,-6,0,-0.0463488709218914,0.03416307983940597,0.016366371496453633
1,-6,0,-0.046341146688376286,0.03458538229164121,0.015781758915000926
2,-6,0,-0.046333596078443555,0.03498834782332509,0.015196861212162708
3,-6,0,-0.04632623336595632,0.0353821632000697,0.014610942639650024
4,-6,0,-0.0463187813739667,0.035771407798790275,0.014025067285978557
5,-6,0,-0.04631115796496547,0.036158740171596225,0.013439582967692125
6,-6,0,-0.046302919718428516,0.03654537032847861,0.012852015361796774
7,-6,0,-0.04629433795394871,0.03692554409893616,0.012264308077763974
8,-6,0,-0.046286041741906904,0.0372910154888119,0.011676366126188649
9,-6,0,-0.04627683168222862,0.03764566332045565,0.011087723658873273
10,-6,0,-0.0462667679191016,0.03799556873813389,0.01050064153669326
-10,-5,0,-0.04616884990544279,0.029593795737042756,0.021483882317853847
-9,-5,0,-0.04616339536247184,0.030079957147366828,0.020947804721154303
-8,-5,0,-0.04615723754761891,0.03056116191646548,0.020409796453204676
-7,-5,0,-0.04615098548993101,0.03104021453418973,0.01986254980439145
-6,-5,0,-0.04614501630100319,0.03151146412714341,0.01929219220505706
-5,-5,0,-0.04613809438953906,0.03197989242704761,0.018715122129016038
-4,-5,0,-0.04613068565378032,0.032446906315010494,0.01813629102399507
-3,-5,0,-0.0461235220828144,0.03289837136842289,0.01755507606138235
-2,-5,0,-0.046116416324584,0.033334439921925196,0.016971720760552648
-1,-5,0,-0.0461091653305403,0.033764557570346306,0.016388189217930463
0,-5,0,-0.04610142966930186,0.03419314947744,0.015803346661161993
1,-5,0,-0.04609591888451876,0.034614992006295614,0.015219392189057592
2,-5,0,-0.04608586133736324,0.0350175281571238,0.014632634659496114
3,-5,0,-0.04607792572099644,0.03541131677315491,0.014046210607192584
4,-5,0,-0.046069856528322795,0.035800336306351016,0.013460379693103383
5,-5,0,-0.046061294646037906,0.03618764736624227,0.012872403744052938
6,-5,0,-0.046052921977115545,0.03657461888868787,0.01228419785525795
7,-5,0,-0.04604410999650665,0.03695505921936388,0.011695277211359283
8,-5,0,-0.04603352752805911,0.03732088370523798,0.01110541720625693
9,-5,0,-0.046022773766609085,0.037673867384052095,0.010518265134733385
10,-5,0,-0.046013648495318075,0.038028254759360176,0.009929181276529793
-10,-4,0,-0.04592295806126746,0.029625953085859736,0.02097307071921895
-9,-4,0,-0.04591660425824174,0.030108971478661,0.020434420436684468
-8,-4,0,-0.045909969464263164,0.03059236087855572,0.019886191079931597
-7,-4,0,-0.045903297293457455,0.031069647931393118,0.0193145533270155
-6,-4,0,-0.045896416999159875,0.03154088762706777,0.018737344741727543
-5,-4,0,-0.04588935998517183,0.03200923324759216,0.01815880157729045
-4,-4,0,-0.04588232263836354,0.032477376630178176,0.01757720761671051
-3,-4,0,-0.04587489350853793,0.03292759700312008,0.01699371243843548
-2,-4,0,-0.04586774417012312,0.03336353133494461,0.0164100473142927
-1,-4,0,-0.045860513443487676,0.03379357303713511,0.015825195896656628
0,-4,0,-0.04585268550385168,0.034222280916298066,0.015240034150134195
1,-4,0,-0.04584448502763186,0.03464475868780435,0.014653666427696516
